timestamp,numFrame,x,y,z,doppler,SNR,Range,Azimuth,Elevation
1740972945282.1338,40,-0.018243097778043872,1.7147138084015945,1.351042132333041,-0.13916000371682458,125.11999720335007,2.1830920957849327,90.60955540660932,38.23339302591795
1740972945282.1338,41,-0.01880713724317625,1.7529300942277664,1.2757463975935133,-0.13916000371682458,46.51999896019697,2.168097436609682,90.61470120714849,36.04478696320623
1740972945282.1338,42,-0.04261746336296854,1.6210253597113222,-0.1822151130568619,0.06972000186215155,6.8799998462200165,1.6317909830725994,91.50598411214433,-6.411345875011903
1740972945282.1338,43,0.0,1.6138537442616319,1.6866115048715717,-0.06972000186215155,32.63999927043915,2.3343483622271197,90.0,46.26286362800519
1740972945282.1338,44,0.0,1.64433505513108,1.541729879582057,-0.06972000186215155,75.87999830394983,2.2540560763053428,90.0,43.1554637012687
1740972945282.1338,45,0.0,1.6618296784588507,1.3899938688939533,-0.13916000371682458,103.11999769508839,2.1665089050750352,90.0,39.909912604512094
1740972945282.1338,46,0.0,1.7148019165303374,1.3510185238310979,-0.13916000371682458,106.63999761641026,2.1830704671793986,90.0,38.233051439780546
1740972945282.1338,47,0.0,1.7530209264805816,1.2757220591647247,-0.13916000371682458,36.75999917834997,2.1680749850773893,90.0,36.04442326907982
1740972945282.1338,48,0.016410143784933304,1.61055996403321,1.670510142522637,-0.06972000186215155,32.75999926775694,2.320512190624453,89.41622822772156,46.04527920105854
1740972945282.1338,49,0.01706886245201928,1.6442526181706079,1.5417519684990422,-0.06972000186215155,63.63999857753515,2.2540756754814106,89.40523819693895,43.155766269124896
1740972945282.1338,50,0.01763055985660648,1.661744528685684,1.3900166847069089,0.06972000186215155,87.63999804109335,2.1665299672566842,89.39213353643143,39.91023333586716
1740972945282.1338,51,0.01817998478205544,1.6944759866965124,1.2998977303217116,-0.13916000371682458,89.99999798834324,2.1357231774350653,89.38529879285151,37.49160880345607
1740972945282.1338,52,0.01880713724317625,1.7529300942277664,1.2757463975935133,-0.13916000371682458,29.23999934643507,2.168097436609682,89.38529879285151,36.04478696320623
1740972945282.1338,53,0.03281864656923655,1.6103222052571975,1.6705738497946632,-0.06972000186215155,31.239999301731586,2.3205670979148185,88.83246367818806,46.04613935296359
1740972945282.1338,54,0.03413601803209367,1.6440053155328187,1.5418182330411239,-0.06972000186215155,51.639998845756054,2.2541344700273105,88.81048513984726,43.15667394422443
1740972945282.1338,55,0.0352593566719982,1.6614890878810904,1.3900851298642136,0.06972000186215155,73.75999835133553,2.166593150466988,88.78427781907095,39.91119549662941
